time,open,high,low,close,tick_volume,spread,real_volume
2025-01-27 11:00:00,1.0505,1.0518,1.05039,1.05126,4109,9,0
2025-01-27 12:00:00,1.05125,1.05277,1.05083,1.05211,3874,9,0
2025-01-27 13:00:00,1.05209,1.05327,1.05094,1.05194,5082,8,0
2025-01-27 14:00:00,1.05192,1.05242,1.05075,1.05089,4968,8,0
2025-01-27 15:00:00,1.05089,1.05094,1.04935,1.04987,4265,8,0
2025-01-27 16:00:00,1.04989,1.05071,1.04888,1.04906,4169,9,0
2025-01-27 17:00:00,1.04906,1.04943,1.04843,1.04884,3023,9,0
2025-01-27 18:00:00,1.04883,1.04938,1.04814,1.04845,2960,9,0
2025-01-27 19:00:00,1.04844,1.04926,1.04789,1.04921,2529,9,0
2025-01-27 20:00:00,1.04921,1.04938,1.0487,1.04878,1931,9,0
2025-01-27 21:00:00,1.04877,1.04919,1.04854,1.04912,825,9,0
2025-01-27 22:00:00,1.04908,1.04913,1.04862,1.04873,1160,23,0
2025-01-27 23:00:00,1.04882,1.04889,1.04278,1.04368,5741,9,0
2025-01-28 00:00:00,1.04371,1.04514,1.0432,1.04452,4156,9,0
2025-01-28 01:00:00,1.04451,1.04561,1.04293,1.0437400000000001,3624,9,0
2025-01-28 02:00:00,1.04373,1.04412,1.04238,1.04334,3612,9,0
2025-01-28 03:00:00,1.04333,1.0439,1.04288,1.04289,1777,9,0
2025-01-28 04:00:00,1.04292,1.04343,1.04253,1.04332,1416,9,0
2025-01-28 05:00:00,1.04333,1.04388,1.0433,1.04359,1146,9,0
2025-01-28 06:00:00,1.0436,1.04438,1.04333,1.04373,1551,9,0
2025-01-28 07:00:00,1.04373,1.04426,1.04277,1.04339,3469,9,0
2025-01-28 08:00:00,1.0434,1.0435699999999999,1.0419,1.04249,4378,9,0
2025-01-28 09:00:00,1.04251,1.04438,1.04222,1.0435,3673,9,0
2025-01-28 10:00:00,1.04347,1.04369,1.04246,1.04247,2880,9,0
2025-01-28 11:00:00,1.04244,1.04322,1.04223,1.04231,2285,9,0
2025-01-28 12:00:00,1.04233,1.04251,1.04134,1.04199,3115,9,0
2025-01-28 13:00:00,1.04196,1.0431,1.04169,1.04243,3593,8,0
2025-01-28 14:00:00,1.04239,1.04406,1.04237,1.0431300000000001,3858,9,0
2025-01-28 15:00:00,1.04315,1.0439,1.04207,1.04238,3983,9,0
2025-01-28 16:00:00,1.0424,1.04327,1.0422,1.04258,3482,9,0
2025-01-28 17:00:00,1.04257,1.04342,1.0424,1.04277,2176,9,0
2025-01-28 18:00:00,1.04279,1.04377,1.0423,1.04261,2713,9,0
2025-01-28 19:00:00,1.04261,1.04364,1.0422,1.04344,1935,9,0
2025-01-28 20:00:00,1.04346,1.0435,1.04292,1.04314,1818,9,0
2025-01-28 21:00:00,1.0431300000000001,1.04337,1.04284,1.0429,726,9,0
2025-01-28 22:00:00,1.04288,1.04298,1.04246,1.04287,895,10,0
2025-01-28 23:00:00,1.04287,1.04299,1.04262,1.04268,570,9,0
2025-01-29 00:00:00,1.04269,1.0434,1.04266,1.043,1373,9,0
2025-01-29 01:00:00,1.043,1.04337,1.04269,1.0427,1224,9,0
2025-01-29 02:00:00,1.04268,1.04353,1.04255,1.04335,1141,9,0
2025-01-29 03:00:00,1.04334,1.04385,1.04309,1.0437,1221,9,0
2025-01-29 04:00:00,1.0437,1.0442,1.04369,1.0438,970,9,0
2025-01-29 05:00:00,1.04381,1.04406,1.04351,1.04399,1068,9,0
2025-01-29 06:00:00,1.044,1.04433,1.0436,1.0437,1670,9,0
2025-01-29 07:00:00,1.04368,1.04376,1.04129,1.04159,3029,9,0
2025-01-29 08:00:00,1.04161,1.04301,1.04161,1.0424,3016,9,0
2025-01-29 09:00:00,1.04238,1.04243,1.04017,1.04037,3383,9,0
2025-01-29 10:00:00,1.04039,1.04079,1.03943,1.04034,3167,9,0
2025-01-29 11:00:00,1.04036,1.04078,1.03968,1.04011,2438,9,0
2025-01-29 12:00:00,1.04012,1.04043,1.0393,1.04037,2855,9,0
2025-01-29 13:00:00,1.04037,1.04053,1.03818,1.03874,4422,9,0
2025-01-29 14:00:00,1.03876,1.04012,1.03859,1.04005,3722,9,0
2025-01-29 15:00:00,1.04008,1.04266,1.03943,1.04189,4664,9,0
2025-01-29 16:00:00,1.04189,1.0423499999999999,1.04112,1.04153,4380,9,0
2025-01-29 17:00:00,1.04152,1.0428,1.04148,1.0421,3403,9,0
2025-01-29 18:00:00,1.04211,1.04242,1.04146,1.04198,2486,9,0
2025-01-29 19:00:00,1.04198,1.04284,1.0388,1.04159,11556,8,0
2025-01-29 20:00:00,1.04158,1.04253,1.04042,1.041,6049,9,0
2025-01-29 21:00:00,1.04098,1.04211,1.04085,1.04178,1316,9,0
2025-01-29 22:00:00,1.04179,1.04206,1.04153,1.04206,845,13,0
2025-01-29 23:00:00,1.04208,1.04269,1.0418,1.04243,1078,9,0
2025-01-30 00:00:00,1.04243,1.04285,1.04233,1.04256,1139,9,0
2025-01-30 01:00:00,1.04256,1.04257,1.04187,1.04199,1161,9,0
2025-01-30 02:00:00,1.04198,1.04265,1.04197,1.04227,1150,9,0
2025-01-30 03:00:00,1.04227,1.04261,1.04217,1.04247,1082,9,0
2025-01-30 04:00:00,1.04248,1.04274,1.04173,1.04187,1191,9,0
2025-01-30 05:00:00,1.04187,1.04216,1.04172,1.04213,1098,9,0
2025-01-30 06:00:00,1.04214,1.04223,1.04106,1.04137,1485,9,0
2025-01-30 07:00:00,1.04137,1.04234,1.04091,1.04233,2237,9,0
2025-01-30 08:00:00,1.0423499999999999,1.04283,1.0416,1.04213,3159,9,0
2025-01-30 09:00:00,1.04211,1.04223,1.04017,1.0407,3972,9,0
2025-01-30 10:00:00,1.04068,1.04119,1.03955,1.04005,3035,9,0
2025-01-30 11:00:00,1.04004,1.04004,1.0391,1.03916,2605,9,0
2025-01-30 12:00:00,1.03916,1.04054,1.03897,1.0403,2706,9,0
2025-01-30 13:00:00,1.04031,1.04594,1.04007,1.04558,7357,9,0
2025-01-30 14:00:00,1.04556,1.04673,1.04188,1.04276,9097,9,0
2025-01-30 15:00:00,1.04279,1.0441799999999999,1.04266,1.04311,5222,9,0
2025-01-30 16:00:00,1.04309,1.04344,1.04166,1.04192,3229,9,0
2025-01-30 17:00:00,1.0419100000000001,1.04228,1.04091,1.04168,2959,9,0
2025-01-30 18:00:00,1.0417,1.0425200000000001,1.04152,1.04245,1585,9,0
2025-01-30 19:00:00,1.04244,1.04297,1.04224,1.04273,1248,9,0
2025-01-30 20:00:00,1.04276,1.04319,1.03856,1.04075,7472,9,0
2025-01-30 21:00:00,1.04072,1.04136,1.03867,1.03913,4043,9,0
2025-01-30 22:00:00,1.03915,1.03916,1.03826,1.03876,1119,18,0
2025-01-30 23:00:00,1.03884,1.03977,1.03847,1.03963,1241,9,0
2025-01-31 00:00:00,1.03963,1.04019,1.03847,1.03865,1682,9,0
2025-01-31 01:00:00,1.03862,1.03921,1.03763,1.03881,2919,9,0
2025-01-31 02:00:00,1.03884,1.03945,1.03864,1.03893,1825,9,0
2025-01-31 03:00:00,1.03892,1.03911,1.03832,1.03848,1381,9,0
2025-01-31 04:00:00,1.0385,1.03895,1.03822,1.03869,1217,9,0
2025-01-31 05:00:00,1.0387,1.03904,1.03842,1.03883,1309,9,0
2025-01-31 06:00:00,1.03885,1.03951,1.03869,1.0394,1409,9,0
2025-01-31 07:00:00,1.03938,1.04122,1.03908,1.04035,3365,9,0
2025-01-31 08:00:00,1.04033,1.04064,1.03804,1.03843,3502,9,0
2025-01-31 09:00:00,1.0384,1.03845,1.03649,1.03829,4795,9,0
2025-01-31 10:00:00,1.03828,1.03837,1.03734,1.03762,3158,9,0
2025-01-31 11:00:00,1.03762,1.03797,1.03717,1.03753,2397,9,0
2025-01-31 12:00:00,1.03752,1.03852,1.03742,1.03821,2552,9,0
2025-01-31 13:00:00,1.03824,1.03949,1.03764,1.03818,4722,9,0
2025-01-31 14:00:00,1.03821,1.03823,1.03662,1.03685,4463,9,0
2025-01-31 15:00:00,1.03687,1.04003,1.03597,1.03958,5037,9,0
2025-01-31 16:00:00,1.0396,1.04071,1.0386,1.03992,4023,9,0
2025-01-31 17:00:00,1.03993,1.04335,1.039,1.04196,9138,9,0
2025-01-31 18:00:00,1.04197,1.04215,1.03612,1.03698,10461,9,0
2025-01-31 19:00:00,1.03698,1.03787,1.03642,1.03757,4564,9,0
2025-01-31 20:00:00,1.03759,1.03813,1.03625,1.03731,4703,9,0
2025-01-31 21:00:00,1.03729,1.03868,1.03495,1.03585,6782,9,0
2025-02-02 22:00:00,1.02379,1.02538,1.02349,1.02491,1192,51,0
