time,open,high,low,close,tick_volume,spread,real_volume
2025-01-27 10:45:00,1.05041,1.05072,1.05006,1.05071,360,9,0
2025-01-27 10:50:00,1.0507,1.05088,1.0503,1.05075,417,9,0
2025-01-27 10:55:00,1.05075,1.0508,1.05037,1.05049,348,9,0
2025-01-27 11:00:00,1.0505,1.05081,1.05039,1.05072,340,9,0
2025-01-27 11:05:00,1.05072,1.05121,1.05045,1.05106,446,9,0
2025-01-27 11:10:00,1.05104,1.0517,1.05088,1.05135,373,9,0
2025-01-27 11:15:00,1.05133,1.05138,1.05074,1.05087,366,9,0
2025-01-27 11:20:00,1.05088,1.05146,1.05081,1.05111,397,9,0
2025-01-27 11:25:00,1.05109,1.05142,1.05091,1.0513,306,9,0
2025-01-27 11:30:00,1.05131,1.0518,1.05116,1.05132,385,9,0
2025-01-27 11:35:00,1.05132,1.05145,1.05109,1.05131,381,9,0
2025-01-27 11:40:00,1.05129,1.05144,1.05094,1.05109,307,9,0
2025-01-27 11:45:00,1.05107,1.0511,1.05084,1.05089,255,9,0
2025-01-27 11:50:00,1.05089,1.05147,1.05082,1.05128,299,9,0
2025-01-27 11:55:00,1.05125,1.05135,1.05109,1.05126,254,9,0
2025-01-27 12:00:00,1.05125,1.05178,1.05125,1.05166,319,9,0
2025-01-27 12:05:00,1.05166,1.05167,1.05124,1.05124,239,9,0
2025-01-27 12:10:00,1.05122,1.05128,1.05092,1.05098,348,9,0
2025-01-27 12:15:00,1.051,1.05131,1.05083,1.05116,296,9,0
2025-01-27 12:20:00,1.05115,1.0514000000000001,1.05085,1.05085,293,9,0
2025-01-27 12:25:00,1.05088,1.05149,1.05088,1.0514000000000001,308,9,0
2025-01-27 12:30:00,1.05141,1.05176,1.0512,1.05145,307,9,0
2025-01-27 12:35:00,1.05146,1.05185,1.05144,1.05157,293,9,0
2025-01-27 12:40:00,1.05157,1.05169,1.0514000000000001,1.05154,270,9,0
2025-01-27 12:45:00,1.05154,1.05154,1.0512299999999999,1.05134,336,9,0
2025-01-27 12:50:00,1.05135,1.05277,1.05135,1.05225,398,9,0
2025-01-27 12:55:00,1.05223,1.05267,1.05209,1.05211,467,9,0
2025-01-27 13:00:00,1.05209,1.05249,1.05169,1.05249,448,9,0
2025-01-27 13:05:00,1.05247,1.05327,1.05221,1.05292,537,9,0
2025-01-27 13:10:00,1.05293,1.05302,1.0519,1.05223,535,9,0
2025-01-27 13:15:00,1.05224,1.05226,1.05166,1.05177,484,9,0
2025-01-27 13:20:00,1.05179,1.05194,1.05108,1.05118,496,9,0
2025-01-27 13:25:00,1.05116,1.05136,1.05094,1.05131,312,8,0
2025-01-27 13:30:00,1.05132,1.05176,1.05106,1.05164,339,9,0
2025-01-27 13:35:00,1.05165,1.05211,1.05156,1.052,400,9,0
2025-01-27 13:40:00,1.05202,1.05243,1.05176,1.05214,450,9,0
2025-01-27 13:45:00,1.05211,1.05258,1.05199,1.0523,382,9,0
2025-01-27 13:50:00,1.0523,1.05283,1.0521,1.05215,369,9,0
2025-01-27 13:55:00,1.05217,1.05223,1.05183,1.05194,330,9,0
2025-01-27 14:00:00,1.05192,1.0522,1.05162,1.05167,410,9,0
2025-01-27 14:05:00,1.05167,1.05242,1.05167,1.05233,384,9,0
2025-01-27 14:10:00,1.05235,1.05241,1.0518,1.0518,401,9,0
2025-01-27 14:15:00,1.05183,1.05213,1.05167,1.05211,436,9,0
2025-01-27 14:20:00,1.05213,1.05231,1.05163,1.05173,430,9,0
2025-01-27 14:25:00,1.05176,1.05182,1.05139,1.05163,373,9,0
2025-01-27 14:30:00,1.05162,1.05193,1.05137,1.05156,507,9,0
2025-01-27 14:35:00,1.05156,1.05166,1.05117,1.05128,382,9,0
2025-01-27 14:40:00,1.05128,1.05158,1.05094,1.05101,434,9,0
2025-01-27 14:45:00,1.05103,1.05175,1.05103,1.05132,473,9,0
2025-01-27 14:50:00,1.05131,1.05164,1.05086,1.05095,404,9,0
2025-01-27 14:55:00,1.05097,1.05106,1.05075,1.05089,334,8,0
2025-01-27 15:00:00,1.05089,1.05089,1.05032,1.05037,353,8,0
2025-01-27 15:05:00,1.05039,1.05063,1.05026,1.05056,322,9,0
2025-01-27 15:10:00,1.05055,1.05094,1.05047,1.05051,315,9,0
2025-01-27 15:15:00,1.05049,1.05094,1.05037,1.05066,382,9,0
2025-01-27 15:20:00,1.05067,1.05085,1.05047,1.05075,374,9,0
2025-01-27 15:25:00,1.05077,1.05078,1.05024,1.05028,341,9,0
2025-01-27 15:30:00,1.05027,1.05035,1.04983,1.04994,434,9,0
2025-01-27 15:35:00,1.04992,1.04998,1.04963,1.0498,300,9,0
2025-01-27 15:40:00,1.04977,1.04979,1.04935,1.04952,369,9,0
2025-01-27 15:45:00,1.04955,1.04999,1.04949,1.04989,390,9,0
2025-01-27 15:50:00,1.04988,1.0499,1.04947,1.04972,401,9,0
2025-01-27 15:55:00,1.0497,1.04992,1.04952,1.04987,284,9,0
2025-01-27 16:00:00,1.04989,1.05038,1.04971,1.05019,365,9,0
2025-01-27 16:05:00,1.0502,1.05049,1.05008,1.05034,290,9,0
2025-01-27 16:10:00,1.05032,1.05066,1.05032,1.05046,347,9,0
2025-01-27 16:15:00,1.05048,1.05069,1.05046,1.05049,282,9,0
2025-01-27 16:20:00,1.0505,1.05059,1.05023,1.05023,303,9,0
2025-01-27 16:25:00,1.05026,1.05071,1.04993,1.05053,459,9,0
2025-01-27 16:30:00,1.05052,1.05055,1.04983,1.05008,357,9,0
2025-01-27 16:35:00,1.05011,1.05023,1.04913,1.04926,426,9,0
2025-01-27 16:40:00,1.04927,1.04974,1.04923,1.04927,374,9,0
2025-01-27 16:45:00,1.04927,1.04934,1.04888,1.04893,372,9,0
2025-01-27 16:50:00,1.04894,1.04973,1.04894,1.04958,313,9,0
