time,open,high,low,close,tick_volume,spread,real_volume
2025-01-27 11:00:00,153.971,154.085,153.709,153.958,10990,9,0
2025-01-27 12:00:00,153.957,154.227,153.86,154.038,8521,9,0
2025-01-27 13:00:00,154.041,154.457,153.892,154.198,8975,9,0
2025-01-27 14:00:00,154.201,154.388,153.949,154.367,10393,9,0
2025-01-27 15:00:00,154.362,154.68,154.229,154.342,9224,9,0
2025-01-27 16:00:00,154.341,154.42,154.096,154.227,7078,9,0
2025-01-27 17:00:00,154.229,154.428,154.168,154.292,5400,9,0
2025-01-27 18:00:00,154.292,154.584,154.219,154.426,5004,9,0
2025-01-27 19:00:00,154.427,154.72,154.427,154.54,4071,9,0
2025-01-27 20:00:00,154.54,154.694,154.529,154.58,3409,9,0
2025-01-27 21:00:00,154.579,154.65,154.444,154.493,1319,9,0
2025-01-27 22:00:00,154.488,154.538,154.349,154.514,622,38,0
2025-01-27 23:00:00,154.535,154.97,154.507,154.911,3981,9,0
2025-01-28 00:00:00,154.915,155.155,154.796,155.143,7407,9,0
2025-01-28 01:00:00,155.145,155.637,155.116,155.484,6735,9,0
2025-01-28 02:00:00,155.486,155.669,155.397,155.55,5924,9,0
2025-01-28 03:00:00,155.549,155.741,155.485,155.732,3751,9,0
2025-01-28 04:00:00,155.733,155.943,155.717,155.786,3592,9,0
2025-01-28 05:00:00,155.786,155.829,155.647,155.698,2659,9,0
2025-01-28 06:00:00,155.696,155.845,155.515,155.767,3961,9,0
2025-01-28 07:00:00,155.767,155.977,155.67,155.859,4755,9,0
2025-01-28 08:00:00,155.859,155.93,155.55,155.728,6390,9,0
2025-01-28 09:00:00,155.727,155.817,155.25,155.442,6575,9,0
2025-01-28 10:00:00,155.445,155.496,155.204,155.47,3661,9,0
2025-01-28 11:00:00,155.473,155.495,155.244,155.434,2814,9,0
2025-01-28 12:00:00,155.434,155.481,155.25,155.273,4061,9,0
2025-01-28 13:00:00,155.273,155.563,155.213,155.488,5325,9,0
2025-01-28 14:00:00,155.488,155.561,155.043,155.293,6258,9,0
2025-01-28 15:00:00,155.29,155.741,155.212,155.71,6182,9,0
2025-01-28 16:00:00,155.713,155.756,155.577,155.653,4187,9,0
2025-01-28 17:00:00,155.653,155.697,155.548,155.603,2591,9,0
2025-01-28 18:00:00,155.601,155.679,155.514,155.678,2409,9,0
2025-01-28 19:00:00,155.679,155.724,155.501,155.533,2039,9,0
2025-01-28 20:00:00,155.532,155.597,155.487,155.516,1915,9,0
2025-01-28 21:00:00,155.499,155.556,155.472,155.504,1021,9,0
2025-01-28 22:00:00,155.488,155.538,155.431,155.513,357,38,0
2025-01-28 23:00:00,155.538,155.608,155.505,155.559,1174,9,0
2025-01-29 00:00:00,155.561,155.648,155.428,155.629,3715,9,0
2025-01-29 01:00:00,155.626,155.788,155.587,155.71,2927,9,0
2025-01-29 02:00:00,155.711,155.777,155.585,155.621,2467,9,0
2025-01-29 03:00:00,155.619,155.62,155.32,155.422,2990,9,0
2025-01-29 04:00:00,155.422,155.433,155.226,155.293,2339,9,0
2025-01-29 05:00:00,155.293,155.298,154.997,155.012,2945,9,0
2025-01-29 06:00:00,155.012,155.314,154.998,155.218,3666,9,0
2025-01-29 07:00:00,155.218,155.405,155.132,155.283,5042,9,0
2025-01-29 08:00:00,155.286,155.334,155.004,155.147,5227,9,0
2025-01-29 09:00:00,155.148,155.36,155.086,155.341,3946,9,0
2025-01-29 10:00:00,155.339,155.451,155.315,155.384,2757,9,0
2025-01-29 11:00:00,155.383,155.519,155.32,155.419,2814,9,0
2025-01-29 12:00:00,155.417,155.494,155.318,155.36,3371,9,0
2025-01-29 13:00:00,155.36,155.462,155.25,155.417,4390,9,0
2025-01-29 14:00:00,155.416,155.442,155.168,155.192,4084,9,0
2025-01-29 15:00:00,155.194,155.321,154.936,155.006,5603,9,0
2025-01-29 16:00:00,155.005,155.239,154.968,155.22,4388,9,0
2025-01-29 17:00:00,155.22,155.231,155.049,155.054,3109,9,0
2025-01-29 18:00:00,155.053,155.168,154.999,155.149,3043,9,0
2025-01-29 19:00:00,155.151,155.607,155.085,155.241,11431,9,0
2025-01-29 20:00:00,155.243,155.384,155.096,155.352,6721,9,0
2025-01-29 21:00:00,155.344,155.365,155.028,155.056,1673,9,0
2025-01-29 22:00:00,155.033,155.19,154.953,155.145,675,38,0
2025-01-29 23:00:00,155.192,155.235,155.032,155.177,2129,9,0
2025-01-30 00:00:00,155.176,155.199,154.671,154.717,6229,9,0
2025-01-30 01:00:00,154.719,154.722,154.457,154.637,6077,9,0
2025-01-30 02:00:00,154.639,154.658,154.278,154.375,5566,9,0
2025-01-30 03:00:00,154.375,154.546,154.309,154.523,4237,9,0
2025-01-30 04:00:00,154.528,154.677,154.476,154.597,3388,9,0
2025-01-30 05:00:00,154.596,154.632,154.411,154.48,3016,9,0
2025-01-30 06:00:00,154.48,154.73,154.353,154.431,3972,9,0
2025-01-30 07:00:00,154.428,154.632,154.363,154.494,4152,9,0
2025-01-30 08:00:00,154.498,154.646,154.431,154.478,5052,9,0
2025-01-30 09:00:00,154.476,154.588,154.312,154.446,4949,9,0
2025-01-30 10:00:00,154.446,154.534,154.348,154.493,3436,9,0
2025-01-30 11:00:00,154.495,154.6,154.42,154.588,3093,9,0
2025-01-30 12:00:00,154.585,154.593,154.091,154.152,4098,9,0
2025-01-30 13:00:00,154.151,154.262,153.831,153.905,8272,9,0
2025-01-30 14:00:00,153.907,154.222,153.841,154.055,8498,9,0
2025-01-30 15:00:00,154.056,154.148,153.786,154.13,6771,9,0
2025-01-30 16:00:00,154.133,154.475,154.067,154.423,4948,9,0
2025-01-30 17:00:00,154.421,154.445,154.257,154.292,3608,9,0
2025-01-30 18:00:00,154.292,154.493,154.292,154.377,2343,9,0
2025-01-30 19:00:00,154.378,154.378,154.083,154.109,2705,9,0
2025-01-30 20:00:00,154.107,154.452,153.992,154.251,6800,9,0
2025-01-30 21:00:00,154.253,154.434,154.171,154.254,2279,9,0
2025-01-30 22:00:00,154.221,154.229,154.034,154.188,573,38,0
2025-01-30 23:00:00,154.213,154.492,154.059,154.086,2617,9,0
2025-01-31 00:00:00,154.087,154.36,154.015,154.306,5536,9,0
2025-01-31 01:00:00,154.309,154.318,153.911,154.086,7139,9,0
2025-01-31 02:00:00,154.089,154.214,153.926,154.173,4508,9,0
2025-01-31 03:00:00,154.175,154.42,154.15,154.351,3544,9,0
2025-01-31 04:00:00,154.354,154.441,154.311,154.433,2926,9,0
2025-01-31 05:00:00,154.435,154.875,154.431,154.716,5045,9,0
2025-01-31 06:00:00,154.715,154.93,154.639,154.687,4748,9,0
2025-01-31 07:00:00,154.688,154.762,154.576,154.648,5116,9,0
2025-01-31 08:00:00,154.65,154.807,154.551,154.588,5482,9,0
2025-01-31 09:00:00,154.586,154.716,154.48,154.716,4706,9,0
2025-01-31 10:00:00,154.716,154.779,154.67,154.67,3024,9,0
2025-01-31 11:00:00,154.671,154.853,154.602,154.84,2881,9,0
2025-01-31 12:00:00,154.84,154.891,154.756,154.825,3140,9,0
2025-01-31 13:00:00,154.822,155.017,154.732,154.795,6078,9,0
2025-01-31 14:00:00,154.792,154.972,154.556,154.619,5892,9,0
2025-01-31 15:00:00,154.617,154.872,154.525,154.814,7910,9,0
2025-01-31 16:00:00,154.817,155.0,154.801,154.917,5260,9,0
2025-01-31 17:00:00,154.916,154.969,154.659,154.76,7440,9,0
2025-01-31 18:00:00,154.76,155.218,154.75,155.135,7391,9,0
2025-01-31 19:00:00,155.135,155.2,154.99,155.138,3286,9,0
2025-01-31 20:00:00,155.136,155.207,155.086,155.093,3313,9,0
2025-01-31 21:00:00,155.09,155.206,155.015,155.199,2272,9,0
2025-02-02 22:00:00,154.714,155.045,154.682,154.95,1441,38,0
2025-02-02 23:00:00,155.019,155.424,154.897,155.337,5161,9,0
2025-02-03 00:00:00,155.346,155.8,155.346,155.695,11965,9,0
2025-02-03 01:00:00,155.693,155.883,155.644,155.704,7585,9,0
2025-02-03 02:00:00,155.705,155.872,155.466,155.541,6000,9,0
2025-02-03 03:00:00,155.542,155.758,155.489,155.648,3685,9,0
2025-02-03 04:00:00,155.648,155.743,155.565,155.711,4106,9,0
