time,open,high,low,close,tick_volume,spread,real_volume
2025-01-27 10:45:00,153.911,154.034,153.731,153.972,3586,9,0
2025-01-27 11:00:00,153.971,154.062,153.762,153.837,3328,9,0
2025-01-27 11:15:00,153.839,153.955,153.76,153.857,2865,9,0
2025-01-27 11:30:00,153.859,154.085,153.709,154.003,2685,9,0
2025-01-27 11:45:00,154.004,154.054,153.79,153.958,2112,9,0
2025-01-27 12:00:00,153.957,154.203,153.86,154.086,2219,9,0
2025-01-27 12:15:00,154.086,154.225,154.019,154.205,2118,9,0
2025-01-27 12:30:00,154.202,154.218,154.073,154.132,1994,9,0
2025-01-27 12:45:00,154.129,154.227,153.891,154.038,2190,9,0
2025-01-27 13:00:00,154.041,154.229,153.892,154.215,2692,9,0
2025-01-27 13:15:00,154.218,154.441,154.154,154.427,2067,9,0
2025-01-27 13:30:00,154.429,154.457,154.216,154.282,2126,9,0
2025-01-27 13:45:00,154.28,154.314,154.056,154.198,2090,9,0
2025-01-27 14:00:00,154.201,154.267,153.949,154.091,2428,9,0
2025-01-27 14:15:00,154.094,154.122,153.976,154.057,2338,9,0
2025-01-27 14:30:00,154.06,154.353,154.053,154.247,3080,9,0
2025-01-27 14:45:00,154.249,154.388,154.159,154.367,2547,9,0
2025-01-27 15:00:00,154.362,154.49,154.357,154.392,2278,9,0
2025-01-27 15:15:00,154.391,154.442,154.229,154.427,2560,9,0
2025-01-27 15:30:00,154.428,154.68,154.413,154.582,2327,9,0
2025-01-27 15:45:00,154.583,154.592,154.325,154.342,2059,9,0
2025-01-27 16:00:00,154.341,154.42,154.196,154.304,1982,9,0
2025-01-27 16:15:00,154.306,154.313,154.104,154.116,1694,9,0
2025-01-27 16:30:00,154.117,154.217,154.096,154.166,1598,9,0
2025-01-27 16:45:00,154.164,154.334,154.142,154.227,1804,9,0
2025-01-27 17:00:00,154.229,154.379,154.224,154.33,1580,9,0
2025-01-27 17:15:00,154.332,154.359,154.168,154.35,1270,9,0
2025-01-27 17:30:00,154.351,154.428,154.321,154.391,1264,9,0
2025-01-27 17:45:00,154.392,154.401,154.234,154.292,1286,9,0
2025-01-27 18:00:00,154.292,154.322,154.219,154.315,1357,9,0
2025-01-27 18:15:00,154.317,154.441,154.308,154.439,1287,9,0
2025-01-27 18:30:00,154.438,154.584,154.421,154.472,1372,9,0
2025-01-27 18:45:00,154.476,154.476,154.369,154.426,988,9,0
2025-01-27 19:00:00,154.427,154.573,154.427,154.565,985,9,0
2025-01-27 19:15:00,154.567,154.668,154.558,154.646,970,9,0
2025-01-27 19:30:00,154.647,154.72,154.585,154.598,912,9,0
2025-01-27 19:45:00,154.595,154.595,154.462,154.54,1204,9,0
2025-01-27 20:00:00,154.54,154.651,154.529,154.6,942,9,0
2025-01-27 20:15:00,154.599,154.679,154.59,154.632,740,9,0
2025-01-27 20:30:00,154.632,154.678,154.591,154.669,843,9,0
2025-01-27 20:45:00,154.666,154.694,154.559,154.58,884,9,0
2025-01-27 21:00:00,154.579,154.65,154.556,154.597,441,9,0
2025-01-27 21:15:00,154.602,154.606,154.496,154.5,287,9,0
2025-01-27 21:30:00,154.5,154.515,154.46,154.484,296,9,0
2025-01-27 21:45:00,154.487,154.524,154.444,154.493,295,9,0
2025-01-27 22:00:00,154.488,154.488,154.349,154.35,85,38,0
2025-01-27 22:15:00,154.376,154.504,154.369,154.491,200,39,0
2025-01-27 22:30:00,154.486,154.516,154.461,154.509,141,38,0
2025-01-27 22:45:00,154.509,154.538,154.472,154.514,196,38,0
2025-01-27 23:00:00,154.535,154.708,154.507,154.657,702,9,0
2025-01-27 23:15:00,154.657,154.97,154.652,154.908,1071,9,0
2025-01-27 23:30:00,154.909,154.965,154.754,154.793,1080,9,0
2025-01-27 23:45:00,154.796,154.933,154.769,154.911,1128,9,0
2025-01-28 00:00:00,154.915,155.057,154.796,154.984,2333,9,0
